date,MKT,SIZE,INV,ROE
12/31/2007,0.127240438,0.103159551,0.060217546,0.027332112
1/31/2008,-0.142640648,0.123792445,-0.001646596,-0.037038746
2/29/2008,0.024101959,0.12306928,0.077923672,-0.050330569
3/31/2008,-0.190765674,0.020475957,0.015977724,-0.0204554
4/30/2008,0.045862444,-0.17195711,-0.154091872,0.178902281
5/31/2008,-0.078768384,0.105284323,0.043963726,-0.073327997
6/30/2008,-0.212562091,-0.051881029,-0.036085768,0.037298468
7/31/2008,0.030132799,0.131809202,0.055430949,-0.034261552
8/31/2008,-0.144518508,-0.108143885,-0.021245538,0.044644322
9/30/2008,-0.059081834,-0.030796597,-0.040937859,-0.112175397
10/31/2008,-0.261146763,0.023277176,-0.014233973,-0.069302194
11/30/2008,0.098371841,0.169929503,0.016140914,-0.085929869
12/31/2008,-0.02809874,0.169395276,-0.05522455,0.020344922
1/31/2009,0.092399349,0.081027971,0.00212401,0.063207181
2/28/2009,0.046807304,0.05982452,-0.000144909,-0.055931858
3/31/2009,0.140681787,0.131170953,-0.002090069,-0.009177201
4/30/2009,0.04374338,0.044392448,-0.078909719,0.032052992
5/31/2009,0.061292569,0.023953292,0.012832979,-0.023633904
6/30/2009,0.14171239,-0.083917829,-0.016014049,0.132736358
7/31/2009,0.153403948,-0.02166942,0.076010137,-0.236688317
8/31/2009,-0.216603899,0.112735496,-0.005450162,0.049511334
9/30/2009,0.049094539,-0.000607827,-0.057790744,0.078114669
10/31/2009,0.08126944,0.063717017,0.010272621,0.001279593
11/30/2009,0.068100796,0.128169217,0.072589258,-0.038984298
12/31/2009,0.027787992,0.021289561,-0.013766733,0.018987655
1/31/2010,-0.088880396,0.098240927,0.027972686,-0.049536188
2/28/2010,0.021563826,0.081209706,0.015143908,-0.010170387
3/31/2010,0.016965337,0.070567292,0.00563618,-0.014594651
4/30/2010,-0.078307388,0.017449476,-0.022275856,0.00567417
5/31/2010,-0.08568396,-0.000408457,-0.003006579,0.045020997
6/30/2010,-0.07248382,-0.026344419,-0.042973402,0.063217018
7/31/2010,0.11129082,0.087437296,0.026802649,-0.042627655
8/31/2010,0.010874069,0.137084368,0.01933113,-0.08013033
9/30/2010,0.006252322,0.015143666,0.007004761,0.002592693
10/31/2010,0.123973251,-0.055520499,-0.109036934,0.043725394
11/30/2010,-0.052892508,0.108659024,0.032996226,0.035392492
12/31/2010,-0.008851919,-0.012945479,-0.06459062,0.025844412
1/31/2011,-0.022450223,-0.040495724,0.046802449,-0.010981484
2/28/2011,0.046490647,0.091393486,0.011493156,-0.021286383
3/31/2011,-2.64E-03,0.023711358,-6.11E-05,-0.012708646
4/30/2011,-0.010584496,-0.031537901,0.004438704,0.024046949
5/31/2011,-0.061184807,0.002243523,-0.004889514,0.019934749
6/30/2011,0.020588121,0.020033351,-0.040690604,0.025766471
7/31/2011,-0.019416503,0.041254357,-0.037024515,-0.006507525
8/31/2011,-0.049337639,0.039257798,-0.025977241,0.027796533
9/30/2011,-0.088642187,-0.040671394,0.047119232,0.026934055
10/31/2011,0.045507529,0.001143808,0.02937516,-0.001835731
11/30/2011,-0.054029392,0.027201748,-0.010211205,0.022519482
12/31/2011,-0.067685422,-0.138243487,-0.005611601,0.11981162
1/31/2012,0.029895225,-0.042343997,0.021378328,0.011251748
2/29/2012,0.064415273,0.106665134,-0.016533445,-0.073448241
3/31/2012,-0.068078161,-0.013080492,0.024921468,0.034313761
4/30/2012,0.05266941,0.023707463,0.037303592,-0.027218547
5/31/2012,-0.004777827,0.052868735,-0.009332034,0.016263234
6/30/2012,-0.048394759,-0.004947997,-0.06254895,0.062874485
7/31/2012,-0.055651345,-0.07404713,-0.029769178,0.070418829
8/31/2012,-0.025013998,0.086232642,0.015275583,-4.09E-05
9/30/2012,0.018418289,-0.004985617,-0.011936573,0.010323007
10/31/2012,-0.009407151,0.012580771,0.011801743,0.005066154
11/30/2012,-0.057036955,-0.076459875,-0.041008099,0.035483995
12/31/2012,0.145395019,0.021603901,0.023261499,-0.03623934
1/31/2013,0.051849047,0.011351801,-0.001555999,0.052519116
2/28/2013,-0.003737195,0.075717372,-0.018907753,-0.00087596
3/31/2013,-0.053352009,0.022161447,-0.029745591,0.036486753
4/30/2013,-0.023817073,-0.010319924,-0.033364527,0.017490219
5/31/2013,0.073608609,0.126703085,-0.030971558,-0.040561483
6/30/2013,-0.131138073,-0.032799453,-0.031628642,0.112196714
7/31/2013,0.025941224,0.112128052,0.000865748,-0.041269394
8/31/2013,0.048216697,0.057590241,0.023509679,-0.06882075
9/30/2013,0.040103214,0.041226292,-0.00651343,-0.035218422
10/31/2013,-0.023325524,0.014427106,0.019732716,0.012955139
11/30/2013,0.043090548,0.107313426,-0.020802495,-0.051714917
12/31/2013,-0.046089307,0.030628233,-0.012389316,0.017449064
1/31/2014,-0.024251667,0.086086216,-0.031033803,-0.010231493
2/28/2014,0.007470906,0.065760868,0.047940672,-0.064420088
3/31/2014,-0.023805692,0.021082891,0.020856069,0.030865051
4/30/2014,-0.00855964,0.010677171,-0.000422151,0.017024031
5/31/2014,0.012070753,0.049909033,0.011691816,-0.016969338
6/30/2014,0.023324795,0.059304067,-0.002144999,-0.003624265
7/31/2014,0.077160928,0.004051457,0.053440181,0.008249723
8/31/2014,0.011663482,0.100103113,0.007572339,-0.089445762
9/30/2014,0.069616866,0.17775231,0.029562717,-0.11285008
10/31/2014,0.016619972,-0.013819436,0.00886313,0.014987042
11/30/2014,0.090868358,-0.065406878,-0.077165027,0.025127835
12/31/2014,0.159150696,-0.410424847,-0.087461039,0.247574294
1/31/2015,-0.001635099,0.141854506,0.028245521,-0.107559212
2/28/2015,0.039055972,0.068620838,-0.057757087,-0.035145037
3/31/2015,0.147897587,0.155092763,0.023661865,-0.090323315
4/30/2015,0.158522448,0.035885856,0.091016789,-0.04918398
5/31/2015,0.065538666,0.364034831,0.037178368,-0.16891718
6/30/2015,-0.072025206,-0.035689091,0.080442701,0.058995811
7/31/2015,-0.147622237,-0.072345288,-0.065144471,0.103532162
8/31/2015,-0.139809414,0.035416441,0.101627765,-0.005909962
9/30/2015,-0.039184747,0.032251684,-0.045280422,0.033367647
10/31/2015,0.142232132,0.202969469,0.004828446,-0.035655501
11/30/2015,0.034333108,0.179609463,-0.026807553,-0.012290253
12/31/2015,0.037195909,0.127841697,0.002034681,0.01886924
1/31/2016,-0.248707689,-0.11649747,-0.018606116,0.081133177
2/29/2016,-0.021558787,0.024619661,0.03365614,-0.01220183
3/31/2016,0.144069528,0.149501396,-0.026591905,0.024453589
4/30/2016,-0.023159644,0.081826077,0.025684257,-0.017237946
5/31/2016,-0.003964816,-0.040511456,-0.022078081,0.026677896
6/30/2016,0.024296044,0.065026526,-0.026136164,0.01589919
7/31/2016,0.011599448,-0.030487733,0.036493529,0.046985396
8/31/2016,0.038748376,0.040779012,0.006071756,-0.030343547
9/30/2016,-0.022475167,0.078356396,-0.011352612,-0.004756495
10/31/2016,0.025468894,0.026304113,0.023633047,-0.01823063
11/30/2016,0.03719727,-0.002676743,0.045086485,-0.005390578
12/31/2016,-0.052093081,0.038254931,0.021170525,-0.010503351
1/31/2017,0.008078906,-0.077507548,0.030841495,0.042149826
2/28/2017,0.027010695,0.029469515,-0.006494333,-0.006862741
3/31/2017,-0.010616933,-0.050729037,-0.02725308,0.07679188
4/30/2017,-0.024870083,-0.09336486,-0.023767723,0.069612937
5/31/2017,-0.015863505,-0.110468191,0.010628077,0.046268613
6/30/2017,0.037906049,0.010460447,-0.015049971,0.039613895
7/31/2017,0.027426016,-0.062934965,0.014410177,0.062329731
8/31/2017,0.024687058,0.029917794,0.001507221,-0.010121168
9/30/2017,0.004363372,0.023297726,-0.030156008,-0.003731972
10/31/2017,0.012455483,-0.06559691,-0.050252412,0.131632718
11/30/2017,-0.028831901,-0.085189475,0.022681795,0.062339637
12/31/2017,-0.000932323,-0.03670891,-0.017897501,0.059086241
1/31/2018,0.042926901,-0.127807016,0.024206538,0.091181908
2/28/2018,-0.058316803,-0.002456854,-0.052670888,0.019570161
3/31/2018,-0.018712711,0.157749844,-0.071638752,-0.073127877
4/30/2018,-0.035033398,-0.013863643,0.006131956,0.006660468
5/31/2018,-0.001994038,0.002063597,-0.012050698,0.058165238
6/30/2018,-0.080542068,-0.047116408,-0.007481025,0.075961328
7/31/2018,0.015331336,0.009344379,0.048950523,-0.006529737
8/31/2018,-0.056083276,-0.05105327,0.033967905,-0.024165309
9/30/2018,0.026259609,-0.031680815,0.004564733,0.011567431
10/31/2018,-0.083634,0.019468533,0.030100301,-0.052286932
11/30/2018,0.005961157,0.100381536,0.015164504,-0.050776653
12/31/2018,-0.04345231,0.012612808,-0.004015698,0.038338808
1/31/2019,0.030012198,-0.099877255,-0.015339504,0.131834589
2/28/2019,0.150266792,0.12408752,0.0481666,-0.171078332
3/31/2019,0.059291644,0.078956878,0.009035859,-0.012046668
4/30/2019,-0.00922827,-0.035687827,0.012924469,0.043615762
5/31/2019,-0.060727864,0.062032187,-0.000135727,-0.003475435
6/30/2019,0.034492191,-0.030007186,-0.047938877,0.103420739
7/31/2019,-0.000810193,-0.019050912,-0.023330539,-0.024137459
